"name","cpu","ram","gpu","storage","screen_size","screen_resolution","screen_panel","battery","color","price","rating","review_text"
"Laptop Asus Zenbook 14 UM3406KA - PP590WS (R7 AI 350, 32GB, 1TB, 3K OLED 120Hz, OfficeH24+365, Win11)","AMD Ryzen AI 7 - 350","32 GB","Card tích hợp - AMD Radeon Graphics","1 TB SSD M.2 NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","14""","3K (2880 x 1800) OLED","OLED","4-cell Li-ion, 75 Wh","","29.990.000₫","5/5",""
"Laptop Lenovo Gaming LOQ 15AHP10 - 83JG0047VN (R7 250, 16GB, 512GB, RTX 5050 8GB, Full HD 144Hz, Win11)","AMD Ryzen AI 7 - 250","16 GB","Card rời - NVIDIA GeForce RTX 5050, 8 GB","Hỗ trợ thêm 1 khe cắm SSD NVMe M.2 PCIe Gen 4.0 mở rộng (nâng cấp tối đa 1 TB (2242))","15.6""","Full HD (1920 x 1080)","IPS","4-cell Li-ion, 60 Wh","","31.690.000₫","5/5",""
"Laptop Lenovo ThinkBook 14 - 21SG007VVN (Core 7 240H, 32GB, 1TB, WUXGA, Win11)","Intel Core 7 Raptor Lake - 240H","32 GB","Card tích hợp - Intel Graphics","Hỗ trợ thêm 1 khe cắm SSD NVMe M.2 PCIe Gen 4.0 mở rộng (nâng cấp tối đa 1 TB (2280))","14""","WUXGA (1920 x 1200)","IPS","3-cell Polymer, 45 Wh","","28.290.000₫","5/5",""
"Laptop Dell Inspiron 15 3520 - N3520-i7U165W11SLU-BL (i7 1255U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)","Intel Core i7 Alder Lake - 1255U","16 GB","Card tích hợp - Intel Iris Xe Graphics","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280) / 1 TB (2230))","15.6""","Full HD (1920 x 1080)","","4-cell Li-ion, 54 Wh","","18.990.000₫","5/5",""
"Laptop Asus Gaming V16 V3607VM - RP044W (Core 7 240H, 16GB, 1TB, RTX 5060 8GB, WUXGA 144Hz, Win11)","Intel Core 7 Raptor Lake - 240H","16 GB","Card rời - NVIDIA GeForce RTX 5060, 8 GB","1 TB SSD NVMe PCIe Gen 4","16""","WUXGA (1920 x 1200)","","3-cell Li-ion, 63 Wh","","34.690.000₫","5/5",""
"Laptop HP Probook 4 G1i 16 - BQ5E1PT (Ultra 7 255U, 16GB, 512GB, WUXGA, Win11)","Intel Core Ultra 7 Arrow Lake - 255U","16 GB","Card tích hợp - Intel Graphics","512 GB SSD PCIe M.2 (2280) (Có thể tháo rời, lắp thanh khác tối đa 1 TB (2280))","16""","WUXGA (1920 x 1200)","IPS","3-cell Li-Po, 56.04 Wh","","28.490.000₫","5/5",""
"Laptop GIGABYTE Gaming A16 GA6H - GAMING-A16-CVHI3VN893SH (i7 13620H, 16GB, 512GB, RTX5060 8GB, WUXGA 165Hz, Win11)","Intel Core i7 Raptor Lake - 13620H","16 GB","Card rời - NVIDIA GeForce RTX 5060, 8 GB","512 GB SSD PCIe M.2 (2280) (Có thể tháo rời, lắp thanh khác tối đa 4 TB (2280))","16""","WUXGA (1920 x 1200)","IPS","Li-Polymer, 76Wh","","32.190.000₫","5/5",""
"Laptop Lenovo ThinkBook 14 G8 - 21SG007UVN (Core 7 240H, 16GB, 1TB, WUXGA, Win11)","Intel Core 7 Raptor Lake - 240H","16 GB","Card tích hợp - Intel Graphics","1 TB SSD M.2 NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","14""","WUXGA (1920 x 1200)","IPS","3-cell Li-ion, 45 Wh","","25.490.000₫","5/5",""
"Laptop MSI Venture A15 AI A2HMG - 003VN (R7 260, 16GB, 512GB, Full HD 144Hz, Win11)","AMD Ryzen AI 7 - 260","16 GB","Card tích hợp - AMD Radeon Graphics","512 GB SSD NVMe PCIe","15.6""","Full HD (1920 x 1080)","IPS","4-cell, 55.2 Wh","","19.690.000₫","5/5",""
"Laptop HP EliteBook 6 G1i 13 - BQ9L8PT (Ultra 5 225U, 16GB, 512GB, WUXGA, Win11)","Intel Core Ultra 5 Arrow Lake - 225U","16 GB","Card tích hợp - Intel Graphics","512 GB SSD PCIe M.2 (Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280))","13.3""","WUXGA (1920 x 1200)","IPS","3-cell Li-Po, 56.04 Wh","","25.190.000₫","5/5",""
"Laptop Lenovo ThinkBook 14 G8 - 21SG007SVN (Core 5 210H, 16GB, 512GB, WUXGA, Win11)","Intel Core 5 Raptor Lake - 210H","16 GB","Card tích hợp - Intel Graphics","Hỗ trợ thêm khe cắm SSD NVMe M.2 PCIe Gen 4.0 mở rộng (nâng cấp tối đa 2 TB (2280))","14""","WUXGA (1920 x 1200)","IPS","Li-ion, 45 Wh","","20.790.000₫","5/5",""
"Laptop Lenovo ThinkBook 16 G8 - 21SH0099VN (Core 7 240H, 16GB, 512GB, WUXGA, Win11)","Intel Core 7 Raptor Lake - 240H","16 GB","Card tích hợp - Intel Graphics","512 GB SSD M.2 NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","16""","WUXGA (1920 x 1200)","IPS","3-cell Li-ion, 45 Wh","","24.490.000₫","5/5",""
"Laptop Lenovo ThinkPad T14s - 21R1000AVN (Ultra 7 255H, 32GB, 512GB, WUXGA, Win11 Pro)","Intel Core Ultra 7 Arrow Lake - 255H","32 GB","Card tích hợp - Intel Arc 140T","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","14""","WUXGA (1920 x 1200)","IPS","58 Wh","","43.590.000₫","5/5",""
"Laptop Asus TUF Gaming F16 FX608JMR - RV048W (i7 14650HX, 16GB, 1TB, RTX 5060 8GB, WUXGA 165Hz, Win11)","Intel Core i7 Raptor Lake - 14650HX","16 GB","Card rời - NVIDIA GeForce RTX 5060, 8 GB","1 TB SSD NVMe PCIe Gen 4","16""","WUXGA (1920 x 1200)","IPS","4-cell Li-ion, 90 Wh","","38.690.000₫","5/5",""
"Laptop Asus Vivobook S16 S3607CA - SH082WS (Ultra 5 225H, 16GB, 512GB, Full HD OLED, OfficeH24+365, Win11)","Intel Core Ultra 5 Arrow Lake - 225H","16 GB","Card tích hợp - Intel Arc Graphics","512 GB SSD M.2 NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280))","16""","Full HD (1920 x 1080) OLED","OLED","4-cell Li-ion, 70 Wh","","22.990.000₫","5/5",""
"Laptop Lenovo ThinkPad E14 Gen 7 - 21SX0031VN (Ultra 7 255H, 32GB, 512GB, WUXGA, Win11)","Intel Core Ultra 7 Arrow Lake - 255H","32 GB","Card tích hợp - Intel Arc Graphics 140T","512 GB SSD NVMe M.2 PCIe Gen 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2242))","14""","WUXGA (1920 x 1200)","IPS","3-cell, 48Wh","","31.090.000₫","5/5",""
"Laptop GIGABYTE Gaming A16 GA6H - GAMING-A16-CTHI3VN893SH (i7 13620H, 16GB, 512GB, RTX 5050 8GB, WUXGA 165Hz, Win11)","Intel Core i7 Raptor Lake - 13620H","16 GB","Card rời - NVIDIA GeForce RTX 5050, 8 GB","Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4.0 mở rộng (nâng cấp tối đa 2 TB (2280))","16""","WUXGA (1920 x 1200)","IPS","4-cell Li-Polymer, 76.1 Wh","","29.690.000₫","",""
"Laptop Lenovo Gaming Legion 5 15IRX10 - 83LY004GVN (i7 14700HX, 24GB, 1TB, RTX 5070 8GB, WQXGA OLED 165Hz, OfficeH24, Win11)","Intel Core i7 Raptor Lake - 14700HX","24 GB","Card rời - NVIDIA GeForce RTX 5070, 8 GB","1 TB SSD M.2 NVMe PCIe Gen 4 x 4 (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2242) / 1 TB (2280))","15.1""","WQXGA (2560 x 1600) OLED","OLED","Li-Polymer, 80 Wh","","47.490.000₫ *","5/5",""
"Laptop HP EliteBook 6 G1i 13 - BQ9M6PT (Ultra 7 255U, 16GB, 512GB, WUXGA, Win11)","Intel Core Ultra 7 Arrow Lake - 255U","16 GB","Card tích hợp - Intel Graphics","512 GB SSD PCIe M.2 (Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280))","13.3""","WUXGA (1920 x 1200)","IPS","3-cell Li-Po, 56.04 Wh","","29.490.000₫","5/5",""
"Laptop Asus Vivobook S14 M3407KA - SF032WS (R7 AI 350, 32GB, 512GB, WUXGA OLED, OfficeH24+365, Win11)","AMD Ryzen AI 7 - 350","32 GB","Card tích hợp - AMD Radeon Graphics","512 GB SSD M.2 NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","14""","WUXGA (1920 x 1200) - OLED","OLED","4-cell Li-ion, 70 Wh","","24.790.000₫","5/5",""
"Laptop HP 240R G10 - C3RU6AT (Core 3 100U, 8GB, 512GB, Full HD, Win11)","Intel Core 3 Raptor Lake - 100U","8 GB","Card tích hợp - Intel UHD Graphics","512 GB SSD PCIe M.2 (2280) (Có thể tháo rời, lắp thanh khác tối đa 1 TB (2280))","14""","Full HD (1920 x 1080)","IPS","3 cell, 41.04 Wh","","13.190.000₫","5/5",""
"Laptop Asus Vivobook S16 S3607CA - SH083WS (Ultra 7 255H, 16GB, 512GB, Full HD OLED, OfficeH24+365, Win11)","Intel Core Ultra 7 Arrow Lake - 255H","16 GB","Card tích hợp - Intel Arc Graphics","512 GB SSD M.2 NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280))","16""","Full HD (1920 x 1080) OLED","OLED","4-cell Li-ion, 70 Wh","","25.490.000₫","5/5",""
"Laptop HP Gaming VICTUS 15 fa2732TX - B85LPPA (i5 13420H, 16GB, 512GB, RTX 4050 6GB, Full HD 144Hz, Win11)","Intel Core i5 Raptor Lake - 13420H","16 GB","Card rời - NVIDIA GeForce RTX 4050, 6 GB","512 GB SSD PCIe M.2 (Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280))","15.6""","Full HD (1920 x 1080)","IPS","4-cell Li-Po, 70.07 Wh","","24.790.000₫","5/5",""
"Laptop Lenovo Gaming LOQ 15ARP9 - 83JC00LVVN (R5 7235HS, 16GB, 512GB, RTX 3050 6GB, Full HD 144Hz, Win11)","AMD Ryzen 5 - 7235HS","16 GB","Card rời - NVIDIA GeForce RTX 3050, 6 GB","Hỗ trợ thêm 1 khe cắm SSD NVMe M.2 PCIe Gen 4.0 mở rộng (nâng cấp tối đa 1 TB (2280))","15.6""","Full HD (1920 x 1080)","IPS","4-cell Li-ion, 60 Wh","","22.690.000₫","5/5",""
"Laptop HP OmniBook 5 AI 16 af1054TU - C1MN8PA (Ultra 7 255U, 32GB, 512GB, WUXGA, OfficeH24, Win11)","Intel Core Ultra 7 Arrow Lake - 255U","32 GB","Card tích hợp - Intel Graphics","512 GB SSD PCIe M.2 (2280) (Có thể tháo rời, lắp thanh khác tối đa 1 TB (2280))","16""","WUXGA (1920 x 1200)","IPS","3-cell Li-Po, 59.16 Wh","","28.690.000₫","5/5",""
"Laptop Lenovo Gaming LOQ 15ARP9 - 83JC00M3VN (R5 7235HS,16GB, 1TB, RTX 3050 6GB, Full HD 144Hz, Win11)","AMD Ryzen 5 - 7235HS","16 GB","Card rời - NVIDIA GeForce RTX 3050, 6 GB","Hỗ trợ thêm 1 khe cắm SSD NVMe M.2 PCIe Gen 4.0 mở rộng (nâng cấp tối đa 1 TB (2280))","15.6""","Full HD (1920 x 1080)","IPS","4-cell Li-ion, 60 Wh","","24.190.000₫","5/5",""
"Laptop Asus Vivobook 14 A1407CA - LY008WS (Ultra 5 225H, 16GB, 512GB, WUXGA, OfficeH24+365, Win11)","Intel Core Ultra 5 Arrow Lake - 225H","16 GB","Card tích hợp - Intel Arc Graphics","512 GB SSD NVMe M.2 PCIe Gen 4.0","14""","WUXGA (1920 x 1200)","IPS","3-cell Li-ion, 42 Wh","","19.790.000₫ *","5/5",""
"Laptop MSI Prestige 16 AI+ Mercedes AMG B2VMG - 088VN (Ultra 9 288V, 32GB, 2TB, UHD+ OLED, Win 11)","Intel Core Ultra 9 Lunar Lake - 288V","32 GB","Card tích hợp - Intel Arc Graphics","2 TB SSD NVMe PCIe Gen 4x4","16""","4K/UHD+ (3840 x 2400) OLED","OLED","4-cell, 99.9Wh","","49.990.000₫","5/5",""
"Laptop Dell Inspiron 15 3530 i7 1355U/16GB/512GB/120Hz/OfficeHS/Win11 (71026454)","Intel Core i7 Raptor Lake - 1355U","16 GB","Card tích hợp - Intel Iris Xe Graphics","512 GB SSD NVMe PCIe","15.6""","Full HD (1920 x 1080)","","4-cell Li-ion, 54 Wh","","20.990.000₫","4.9/5","RAM tận 16GB nhưng máy mở Chrome vs Office là lag giật. Check kĩ mới biết là do các phần mềm có sẵn của Dell. Phải gỡ đi thì máy mới nhanh hơn chút. Ngoài ra thiết kế bàn phím gây khó dễ thao tác"
"Laptop Lenovo ThinkPad X1 Carbon - 21NX0038VN (Ultra 5 225H, 32GB, 1TB, WUXGA, Win11 Pro)","Intel Core Ultra 5 Arrow Lake - 225H","32 GB","Card tích hợp - Intel Arc Graphics","1 TB SSD M.2 PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","14""","WUXGA (1920 x 1200)","IPS","57Wh","","51.690.000₫","5/5",""
"Laptop Lenovo Gaming Legion 5 15IRX10 - 83LY00HYVN (i7 14700HX, 16GB, 1TB, RTX 5050 8GB, WQXGA 165Hz, OfficeH24, Win11)","Intel Core i7 Raptor Lake - 14700HX","16 GB","Card rời - NVIDIA GeForce RTX 5050, 8 GB","Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB (2280))","15.1""","WQXGA (2560 x 1600) OLED","OLED","Li-ion, 80 Wh","","42.190.000₫","5/5",""
"Laptop Asus TUF Gaming F16 FX607VJB - RL151W (Core 5 210H, 16GB, 512GB, RTX 3050 6GB, Full HD+, 144Hz, Win11)","Intel Core 5 Raptor Lake - 210H","16 GB","Card rời - NVIDIA GeForce RTX 3050, 6 GB","512 GB SSD M.2 NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","16""","WUXGA (1920 x 1200)","IPS","4-cell, 56Wh","","23.690.000₫","5/5",""
"Laptop HP OmniBook X Flip 14 fk0092AU - BZ7P5PA (R5 AI 340, 16GB, 512GB, WUXGA, Cảm ứng, OfficeH24, Win11)","AMD Ryzen AI 5 - 340","16 GB","Card tích hợp - AMD Radeon 840M","512 GB SSD M.2 PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280))","14""","WUXGA (1920 x 1200)","IPS","3-cell Li-Po, 59.16 Wh","","27.690.000₫","5/5",""
"Laptop Dell Inspiron 14 5441 - 5MNK1 (X1P 64 100, 16GB, 512GB, Full HD+, OfficeH24+365, Win11)","Snapdragon X Plus - X1P-64-100","16 GB","Card tích hợp - Qualcomm Adreno GPU","512 GB SSD NVMe PCIe","14""","Full HD+","","3-cell, 54 Wh","","26.990.000₫","5/5",""
"Laptop Lenovo Gaming Legion 5 15IRX10 - 83LY00HQVN (i7 13650HX, 16GB, 512GB, RTX 5060 8GB, WUXGA 165Hz, OfficeH24, Win11)","Intel Core i7 Raptor Lake - 13650HX","16 GB","Card rời - NVIDIA GeForce RTX 5060, 8 GB","Hỗ trợ thêm 1 khe cắm SSD NVMe M.2 PCIe Gen 4.0 mở rộng (nâng cấp tối đa 1 TB (2242))","15.3""","WUXGA (1920 x 1200)","IPS","4-cell Li-ion, 80 Wh","","38.490.000₫","5/5",""
"Laptop GIGABYTE Gaming A16 GA6H - CWHI3VNC94SH (i7 13620H, 16GB, 1TB, RTX 5070 8GB, WQXGA 165Hz, Win11)","Intel Core i7 Raptor Lake - 13620H","16 GB","Card rời - NVIDIA GeForce RTX 5070, 8 GB","1 TB SSD M.2 PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280))","16""","WQXGA (2560 x 1600)","IPS","4-cell Li-Polymer, 76.1 Wh","","38.690.000₫","5/5",""
"Laptop Asus Zenbook 14 OLED UX3405MA - PP152W (Ultra 7 155H, 32GB, 1TB, 2.8K OLED 120Hz, Win11)","Intel Core Ultra 7 Meteor Lake - 155H","32 GB","Card tích hợp - Intel Arc Graphics","1 TB SSD NVMe PCIe Gen 4","14""","2.8K (2880 x 1800) - OLED 16:10","OLED","4-cell Li-ion, 75 Wh","","31.190.000₫","5/5","Máy mỏng nhẹ, đẹp, màn hình sắc nét, hiệu năng cao, đáp ứng các file lớn chạy mượt || Nhanh như tia chớp"
"Laptop Dell Inspiron 16 5640 - N6I7512W1 (Core 7 150U, 16GB, 1TB, MX570A 2GB, 2.5K 120Hz, OfficeHS, Win11)","Intel Core 7 Raptor Lake - 150U","16 GB","Card rời - NVIDIA Geforce MX570A, 2 GB","1 TB SSD M.2 PCIe","16""","2.5K","","4-cell Li-ion, 54 Wh","","31.290.000₫","5/5",""
"Laptop HP OmniBook 7 16 az0040TU - C2DR3PA (Core 9 270H, 32GB, 512GB, WUXGA, OfficeH24+365, Win11)","Intel Core 9 Raptor Lake - 270H","32 GB","Card tích hợp - Intel Graphics","512 GB SSD NVMe M.2 PCle Gen 4","16""","WUXGA (1920 x 1200)","IPS","4-cell Li-Po, 70 Wh","","37.190.000₫","5/5",""
"Laptop HP OmniBook X Flip 14 fm0076TU - BZ7P6PA (Ultra 7 258V, 32GB, 512GB, WUXGA, Cảm ứng, OfficeH24, Win11)","Intel Core Ultra 7 Meteor Lake - 258V","32 GB","Card tích hợp - Intel Arc 140V","512 GB SSD M.2 PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280))","14""","WUXGA (1920 x 1200)","IPS","3-cell Li-Po, 59.16 Wh","","34.390.000₫","5/5",""
"Laptop Asus Gaming Vivobook K3605ZU - RP296W (i5 12500H, 16GB, 512GB, RTX 4050 6GB, WUXGA 144Hz, Win11)","Intel Core i5 Alder Lake - 12500H","16 GB","Card rời - NVIDIA GeForce RTX 4050, 6 GB","512 GB SSD NVMe M.2 PCIe Gen 4.0","16""","WUXGA (1920 x 1200)","IPS","3-cell Li-ion, 70 Wh","","22.490.000₫","5/5",""
"Laptop HP OmniBook 7 14 fr0024TU - C1MN0PA (Ultra 7 255H, 32GB, 512GB, WUXGA, OfficeH24+365B, Win11)","Intel Core Ultra 7 Arrow Lake - 255H","32 GB","Card tích hợp - Intel Arc 140T","512 GB SSD NVMe M.2 PCle Gen 4","14""","WUXGA (1920 x 1200)","IPS","4-cell, 68Wh","","31.490.000₫","5/5",""
"Laptop Dell Inspiron 7440 - N4I5006W1 (Core 5 120U, 16GB, 1TB, Full HD+, Cảm ứng, OfficeHS, Win11)","Intel Core 5 Raptor Lake - 120U","16 GB","Card tích hợp - Intel Graphics","1 TB SSD M.2 PCIe","14""","Full HD+","","4-cell Li-ion, 54 Wh","","28.890.000₫","5/5",""
"Laptop Dell Inspiron 14 5441 - N4O10441W1 (X1P 64 100, 16GB, 1TB, Full HD+, OfficeH24+365, Win11)","Snapdragon X Plus - X1P-64-100","16 GB","Card tích hợp - Qualcomm Adreno GPU","1 TB SSD M.2 PCIe","14""","Full HD+ (1920 x 1200)","IPS","3-cell, 54 Wh","","28.990.000₫","5/5",""
"Laptop Lenovo Yoga Slim 7 OLED 14IMH9 - 83CV00DKVN (Ultra 7 155H, 32GB, 1TB, WUXGA OLED, OfficeH24+365, Win11)","Intel Core Ultra 7 Meteor Lake - 155H","32 GB","Card tích hợp - Intel Arc Graphics","1 TB SSD NVMe M.2 PCIe Gen 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2242)/ 1 TB (2280))","14""","WUXGA (1920 x 1200) - OLED","OLED","Li-ion, 65 Wh","","29.690.000₫","5/5",""
"Laptop Asus Zenbook 14 UX3405CA - PZ368WS (Ultra 7 255H, 16GB, 512GB, 2.8K OLED 120Hz, Cảm ứng, OfficeH24+365, Win11)","Intel Core Ultra 7 Arrow Lake - 255H","16 GB","Card tích hợp - Intel Arc Graphics","512 GB SSD NVMe PCIe","14""","2.8K (2880 x 1800) - OLED 16:10","OLED","4-cell Li-ion, 75 Wh","","30.190.000₫ *","5/5",""
"Laptop HP OmniBook 5 16 ag1069AU - BZ7T1PA (R5 AI 340, 16GB, 512GB, WUXGA, OfficeH24+365B, Win11)","AMD Ryzen AI 5 - 340","16 GB","Card tích hợp - AMD Radeon 840M Graphics","512 GB SSD NVMe M.2 PCle Gen 4","16""","WUXGA (1920 x 1200)","IPS","3-cell Li-Po, 59 Wh","","23.490.000₫","5/5",""
"Laptop Lenovo Gaming Legion 5 15AHP10 - 83M00030VN (R7 260, 24GB, 1TB, RTX 5060 8GB, WQXGA OLED 165Hz, OfficeH24, Win11)","AMD Ryzen 7 - 260","24 GB","Card rời - NVIDIA GeForce RTX 5060, 8 GB","1 TB SSD M.2 NVMe PCIe Gen 4 x 4 (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2242) / 1 TB (2280))","15.1""","WQXGA (2560 x 1600) OLED","OLED","4-cell Li-Polymer, 80 Wh","","40.690.000₫","5/5",""
"Laptop GIGABYTE Gaming AERO X16 - GIGABYTE-AERO-X161VH93VNC64AH (R7 AI 350, 32GB, 1TB, RTX5060 8GB, WQXGA 165Hz, Win11)","AMD Ryzen AI 7 - 350","32 GB","Card rời - NVIDIA GeForce RTX 5060, 8 GB","1 TB SSD M.2 PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 4 TB)","16""","WQXGA (2560 x 1600)","IPS","Li-Polymer, 76Wh","","39.190.000₫","4.8/5","Nóng quá chết ổ SSD nha, mn nên cẩn thận mẫu này nha"
"Laptop MSI Prestige 16 AI+ B2VMG - 016VN (Ultra 9 288V, 32GB, 1TB, 4K/UHD+ OLED, Win11)","Intel Core Ultra 9 Lunar Lake - 288V","32 GB","Card tích hợp - Intel Arc 140V","1 TB SSD NVMe PCIe Gen 4","16""","4K/UHD+ (3840 x 2400) OLED","OLED","4-cell, 99.9Wh","","44.190.000₫","",""
"Laptop GIGABYTE AORUS 16X X6LAG - 9RX6LASGDDJIXDVN010 (i7 14650HX, 16GB, 1TB, RTX 4070 8GB, WQXGA 165Hz, Win11)","Intel Core i7 Raptor Lake - 14650HX","16 GB","Card rời - NVIDIA GeForce RTX 4070, 8 GB","1 TB SSD NVMe PCIe Gen 4 x 4 (Có thể tháo ra, lắp thanh khác nâng cấp tối đa 4 TB)","16""","WQXGA (2560 x 1600)","IPS","4-cell Li-ion, 99 Wh","","36.690.000₫","5/5",""
"Laptop HP OmniBook 7 16 az0043TU - C2CX3PA (Core 7 240H, 32GB, 512GB, WUXGA, OfficeH24, Win11)","Intel Core 7 Raptor Lake - 240H","32 GB","Card tích hợp - Intel Graphics","512 GB SSD M.2 PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280))","16""","WUXGA (1920 x 1200)","IPS","4-cell Li-Po, 70.07 Wh","","29.590.000₫","5/5",""
"Laptop MSI Prestige 13 AI+ A2VMG - 040VN (Ultra 7 258V, 32GB, 1TB, 2.8K OLED, Win11)","Intel Core Ultra 7 Lunar Lake - 258V","32 GB","Card tích hợp - Intel Arc 140V","1 TB SSD NVMe PCIe Gen 4","13.3""","2.8K (2880 x 1800) - OLED 16:10","OLED","4-cell Li-ion, 75 Wh","","37.690.000₫","",""
"Laptop Asus Zenbook DUO UX8406CA - PZ109WS (Ultra 9 285H, 32GB, 1TB, 2.8K OLED 120Hz, Cảm ứng, OfficeH24+365, Win11)","Intel Core Ultra 9 Arrow Lake - 285H","32 GB","Card tích hợp - Intel Arc Graphics","1 TB SSD NVMe PCIe Gen 4","2x14""","2.8K (2880 x 1800) - OLED 16:10","OLED","4-cell Li-ion, 75 Wh","","54.990.000₫","5/5",""
"Laptop HP 14 ep1137TU - C2CY8PA (Ultra 7 155H, 16GB, 512GB, Full HD, Win11)","Intel Core Ultra 7 Meteor Lake - 155H","16 GB","Card tích hợp - Intel Arc Graphics","512 GB SSD M.2 PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280))","14""","Full HD (1920 x 1080)","Hãng không công bố","3-cell Li-Po, 41.04 Wh","","22.690.000₫","5/5",""
"Laptop Asus Vivobook 15 X1504V - NJ023W (i7 1355U, 16GB, 512GB, Full HD, Win11)","Intel Core i7 Raptor Lake - 1355U","16 GB","Card tích hợp - Intel Iris Xe Graphics","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","15.6""","Full HD (1920 x 1080)","","3-cell Li-ion, 42 Wh","","19.990.000₫","4.9/5","Máy tốt sp ok nhân viên nhiệt tình chu đáo và tận tình với khách hàng"
"Laptop MSI Gaming Vector 16 HX AI A2XWIG - 062VN (Ultra 9 275HX, 16GB, 1TB, RTX 5080 16GB, QHD+ 240Hz, Win11)","Intel Core Ultra 9 Arrow Lake - 275HX","16 GB","Card rời - NVIDIA GeForce RTX 5080, 16 GB","1 TB SSD NVMe PCIe Gen 4","16""","QHD+ (2560 x 1600) 16:10","IPS","4-cell, 90 Wh","","72.690.000₫","",""
"Laptop Asus Zenbook 14 UM3406KA - PP113WS (R7 AI 350, 16GB, 512GB, 2.8K 120Hz, OfficeH24+365, Win11)","AMD Ryzen AI 7 - 350","16 GB","Card tích hợp - AMD Radeon Graphics","512 GB SSD NVMe M.2 PCIe Gen 4.0","14""","2.8K (2880 x 1800) - OLED 16:10","","4-cell Li-ion, 75 Wh","","26.290.000₫ *","5/5",""
"Laptop Dell XPS 13 9350 - PP9H1 (Ultra 7 258V, 32GB, 1TB, 2.5K+ 120Hz, Cảm ứng, OfficeH24+365, Win11)","Intel Core Ultra 7 Lunar Lake - 258V","32 GB","Card tích hợp - Intel Arc Graphics","1 TB SSD NVMe M.2 PCIe (2280)","13.4""","WQXGA (2560 x 1600) OLED","","3-cell Li-Po, 55 Wh","","64.900.000₫ *","5/5",""
"Laptop HP 15 fd1288TU - C2CV7PA (Ultra 7 155H, 16GB, 512GB, Full HD, Win11)","Intel Core Ultra 7 Meteor Lake - 155H","16 GB","Card tích hợp - Intel Arc Graphics","512 GB SSD M.2 PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280))","15.6""","Full HD (1920 x 1080)","IPS","3-cell Li-Po, 41.04 Wh","","22.690.000₫","5/5",""
"Laptop Dell Gaming Alienware 16 Aurora AC16250 - 71072937 (Core 7 240H, 16GB, 1TB, RTX 5060 8GB, WQXGA 120Hz, OfficeH24+365, Win11)","Intel Core 7 Raptor Lake - 240H","16 GB","Card rời - NVIDIA GeForce RTX 5060, 8 GB","1 TB SSD NVMe M.2 PCIe","16""","WQXGA (2560 x 1600)","","6-cell Li-ion, 96 Wh","","38.490.000₫","5/5","Máy mới mua còn nhiều chức năng chưa xài hếtCó cảm giác lag, khởi động máy các ứng dụng cơ bản đi kèm khởi động chậm hơn các mây phổ thông khác. Unikey là dể nhận thấy nhấtCác máy khác tầm 3s, máy này trên 10s"
"Laptop GIGABYTE Gaming AERO X16 - GIGABYTE-AERO-X16-1VH93VNC94DH (R7 AI 350, 16GB, 1TB, RTX 5060 8GB, WQXGA 165Hz,Win11)","AMD Ryzen AI 7 - 350","16 GB","Card rời - NVIDIA GeForce RTX 5060, 8 GB","1 TB SSD M.2 NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280))","16""","WQXGA (2560 x 1600)","IPS","4-cell Li-Polymer, 76.1 Wh","","36.690.000₫","",""
