"name","cpu","ram","gpu","storage","screen_size","screen_resolution","screen_panel","battery","color","price","rating","review_text"
"Laptop Acer Gaming Nitro V 15 ProPanel ANV15 41 R7CR - NH.QPESV.003 (R5 7535HS, 16GB, 512GB, RTX 4050 6GB, Full HD 180Hz, Win11)","AMD Ryzen 5 - 7535HS","16 GB","Card rời - NVIDIA GeForce RTX 4050, 6 GB","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)","15.6""","Full HD (1920 x 1080)","IPS","4-cell, 57Wh","","28.690.000₫","5/5",""
"Laptop Dell Inspiron 14 5440 - 71053697 (Core 5 120U, 16GB, 1TB, Full HD+, OfficeH24+365B, Win11)","Intel Core 5 Raptor Lake - 120U","16 GB","Card tích hợp - Intel Graphics","1 TB SSD NVMe M.2 PCIe","14""","Full HD+ (1920 x 1200)","WVA","4-cell Li-Po, 54 Wh","","23.490.000₫","5/5",""
"Laptop Lenovo V14 G4 AMN - 82YT00YNVN (R5 7520U, 16GB, 512GB, Full HD, Win11)","AMD Ryzen 5 - 7520U","16 GB","Card tích hợp - AMD Radeon Graphics","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","14""","Full HD (1920 x 1080)","IPS","2-cell, 38Wh","","12.490.000₫","4.9/5","Em mới mua máy được 2 ngày nhưng đang sài bị sập nguồn mở lại thì 1 lúc mới lên. Hôm sau thì bât máy khoảng 5 phút mới lên màn hình là bị sao vậy ạ"
"Laptop HP 15 fd1037TU - 9Z2W5PA (Core 7 150U, 16GB, 1TB, Full HD, Win11)","Intel Core 7 Raptor Lake - 150U","16 GB","Card tích hợp - Intel Graphics","1 TB SSD NVMe M.2 PCIe","15.6""","Full HD (1920 x 1080)","Hãng không công bố","3-cell Li-ion, 41 Wh","","20.690.000₫ *","5/5",""
"Laptop HP 15 fd1043TU - 9Z2W9PA (Core 5 120U, 16GB, 1TB, Full HD, Win11)","Intel Core 5 Raptor Lake - 120U","","","","","","","","","18.490.000₫ *","5/5",""
"Laptop Acer Gaming Nitro V 15 ProPanel ANV15 52 72BM - NH.QZ9SV.004 (i7 13620H, 16GB, 512GB, RTX5050 8GB, Full HD 180Hz, Win11)","Intel Core i7 Raptor Lake - 13620H","16 GB","Card rời - NVIDIA GeForce RTX 5050, 8 GB","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","15.6""","Full HD (1920 x 1080)","IPS","4-cell, 76Wh","","33.690.000₫","5/5",""
"Laptop Dell Inspiron 14 5440 - 71059084 (Core 7 150U, 16GB, 1TB, MX570A 2GB, 2.2K, OfficeH24+365B, Win11)","Intel Core 7 Raptor Lake - 150U","16 GB","Card rời - NVIDIA Geforce MX570A, 2 GB","1 TB SSD NVMe M.2 PCIe","14""","2.2K","WVA","4-cell Li-Po, 54 Wh","","30.490.000₫","5/5",""
"Laptop Asus Vivobook 15 OLED A1505VA - MA586WS (i9 13900H, 16GB, 512GB, 2.8K OLED 120Hz, OfficeHS, Win11)","Intel Core i9 Raptor Lake - 13900H","16 GB","Card tích hợp - Intel Iris Xe Graphics","512 GB SSD NVMe PCIe","15.6""","2.8K (2880 x 1620) - OLED","OLED","3-cell Li-ion, 50 Wh","","22.990.000₫","4.9/5",""
"Laptop MSI VenturePro 16 AI A1VEG - 003VN (Ultra 7 155H, 16GB, 512GB, RTX 4050 6GB, 2K OLED 120Hz, Win11)","Intel Core Ultra 7 Meteor Lake - 155H","16 GB","Card rời - NVIDIA GeForce RTX 4050, 6 GB","512 GB SSD NVMe PCIe","15.6""","2K, OLED","OLED","4-cell, 55.2 Wh","","34.690.000₫","5/5",""
"Laptop Acer Swift AI SF14 51 53P9 - NX.J2KSV.002 (Ultra 5 226V, 16GB, 1TB, 2.8K OLED 90Hz, Win11)","Intel Core Ultra 5 Lunar Lake - 226V","16 GB","Card tích hợp - Intel Arc Graphics 130V","1 TB SSD M.2 PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","14""","2.8K (2880 x 1800) - OLED","OLED","3-cell Li-ion, 65 Wh","","30.190.000₫ *","5/5",""
"Laptop MSI Gaming Katana 15 HX B14WFK - 294VN (i9 14900HX, 16GB, 512GB, RTX 5060 8GB, QHD, 165Hz, Win11)","Intel Core i9 Raptor Lake - 14900HX","16 GB","Card rời - NVIDIA GeForce RTX 5060, 8 GB","512 GB SSD M.2 NVMe PCie Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 4TB)","15.6""","QHD","IPS","4-cell Li-Po, 75 Wh","","45.690.000₫","5/5",""
"Laptop Asus TUF Gaming F16 FX608JHR - RV037W (i7 14650HX, 16GB, 1TB, RTX 5050 8GB, WUXGA 165Hz, Win11)","Intel Core i7 Raptor Lake - 14650HX","16 GB","Card rời - NVIDIA GeForce RTX 5050, 8 GB","1 TB SSD NVMe PCIe Gen 4","16""","WUXGA (1920 x 1200)","IPS","4-cell Li-ion, 90 Wh","","34.990.000₫ *","5/5","công nghệ mới sài rất thích , mà lâu lâu lag do mới quá , phải chờ 1 thời gian để drive cập nhập"
"Laptop Lenovo Gaming Legion 5 15AHP10 - 83M0002XVN (R7 260, 24GB, 512GB, RTX 5050 8GB, WQXGA OLED 165Hz,OfficeH24, Win11)","AMD Ryzen 7 - 260","24 GB","Card rời - NVIDIA GeForce RTX 5050, 8 GB","512 GB SSD M.2 NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2242) / 1 TB (2280))","15.1""","WQXGA (2560 x 1600) OLED","OLED","4-cell Li-ion, 80 Wh","","36.690.000₫","5/5",""
"Laptop MSI Gaming Katana 15 B13VEK - 2416VN (i5 13420H, 16GB, 512GB, RTX 4050 6GB, Full HD 144Hz, Win11)","Intel Core i5 Raptor Lake - 13420H","16 GB","Card rời - NVIDIA GeForce RTX 4050, 6 GB","512 GB SSD NVMe PCIe","15.6""","Full HD (1920 x 1080)","IPS","3-cell, 53.5Wh","","24.490.000₫","5/5",""
"Laptop HP 15 fd1039TU - 9Z2W7PA (Core 7 150U, 16GB, 512GB, Full HD, Win11)","Intel Core 7 Raptor Lake - 150U","16 GB","Card tích hợp - Intel Graphics","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","15.6""","Full HD (1920 x 1080)","Hãng không công bố","3-cell Li-ion, 41 Wh","","20.690.000₫","5/5",""
"Laptop MSI Gaming Katana 15 HX B14WEK - 295VN (i9 14900HX, 16GB, 512GB, RTX 5050 8GB, QHD, 165Hz, Win11)","Intel Core i9 Raptor Lake - 14900HX","16 GB","Card rời - NVIDIA GeForce RTX 5050, 8 GB","512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 4 TB)","15.6""","QHD","IPS","4-cell Li-Po, 75 Wh","","40.690.000₫","5/5",""
"Laptop Acer Gaming Nitro V 15 ProPanel ANV15 52 59AA - NH.QZ9SV.002 (i5 13420H, 16GB, 512GB, RTX 5050 8GB, Full HD 180Hz, Win11)","Intel Core i5 Raptor Lake - 13420H","16 GB","Card rời - NVIDIA GeForce RTX 5050, 8 GB","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","15.6""","Full HD (1920 x 1080)","IPS","4-cell, 76Wh","","31.690.000₫","5/5",""
"Laptop GIGABYTE Gaming A16 GA6H - GAMING-A16-CTHH3VN893SH (i5 13420H, 16GB, 512GB, RTX5050 8GB, WUXGA 165Hz, Win11)","Intel Core i5 Raptor Lake - 13420H","16 GB","Card rời - NVIDIA GeForce RTX 5050, 8 GB","512 GB SSD PCIe M.2 (2280) (Có thể tháo rời, lắp thanh khác tối đa 4 TB (2280))","16""","WUXGA (1920 x 1200)","IPS","Li-Polymer, 76Wh","","28.190.000₫","5/5",""
"Laptop Lenovo IdeaPad Slim 5 OLED 14IRH10R - 83J0006CVN (Core 5 210H, 32GB, 1TB, WUXGA OLED, Win11)","Intel Core 5 Raptor Lake - 210H","32 GB","Card tích hợp - Integrated Graphics","1 TB SSD NVMe M.2 PCIe Gen 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2242))","14""","WUXGA (1920 x 1200) - OLED","OLED","Li-ion, 60 Wh","","23.690.000₫","5/5",""
"Laptop Lenovo V14 G5 - 83HD005JVN (i5 13420H, 16GB, 512GB, Full HD, Win11)","Intel Core i5 Raptor Lake - 13420H","16 GB","Card tích hợp - Intel UHD Graphics","512 GB SSD M.2 NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","14""","Full HD (1920 x 1080)","IPS","3-cell Li-Ion, 47 Wh","","15.790.000₫","5/5",""
"Laptop Lenovo IdeaPad Slim 3 16IRH10 - 83K20004VN (i7 13620H, 24GB, 512GB, WUXGA, Win11)","Intel Core i7 Raptor Lake - 13620H","24 GB","Card tích hợp - Intel UHD Graphics","512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","16""","WUXGA (1920 x 1200)","IPS","60 Wh","","22.690.000₫","5/5",""
"Laptop Lenovo IdeaPad Slim 5 OLED 14IRH10R - 83J0006DVN (Core 5 210H, 32GB, 512GB, WUXGA OLED, OfficeH24+365, Win11)","Intel Core 5 Raptor Lake - 210H","32 GB","Card tích hợp - Integrated Graphics","512 GB SSD NVMe M.2 PCIe Gen 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2242))","14""","WUXGA (1920 x 1200) - OLED","OLED","Li-ion, 60 Wh","","23.690.000₫","5/5",""
"Laptop Dell Gaming Alienware 16 Aurora AC16250 - C7H321W11II5060 (Core 7 240H, 32GB, 1TB, RTX 5060 8GB, WQXGA 120Hz, OfficeH24+365, Win11)","Intel Core 7 Raptor Lake - 240H","32 GB","Card rời - NVIDIA GeForce RTX 5060, 8 GB","1 TB SSD NVMe PCIe Gen 4 x 4","16""","WQXGA (2560 x 1600)","","6-cell Li-ion, 96 Wh","","42.490.000₫","5/5",""
"Laptop HP Gaming OMEN 16 am0129TX - BX9D1PA (Ultra 7 255H, 32GB, 512GB, RTX 5070 8GB, WUXGA 165Hz, Win11)","Intel Core Ultra 7 Arrow Lake - 255H","32 GB","Card rời - NVIDIA GeForce RTX 5070, 8 GB","Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB (2280))","16""","WUXGA (1920 x 1200)","IPS","6-cell Li-Po, 83 Wh","","44.690.000₫","5/5",""
"Laptop MSI Gaming Katana 15 HX B14WFK - 267VN (i7 14650HX, 32GB, 512GB, RTX5060 8GB, QHD 165Hz, Win11)","Intel Core i7 Raptor Lake - 14650HX","32 GB","Card rời - NVIDIA GeForce RTX 5060, 8 GB","512 GB SSD PCIe M.2 (2280) (Có thể tháo rời, lắp thanh khác tối đa 4 TB (2280))","15.6""","QHD","IPS","4-cell Li-Po, 75 Wh","","44.690.000₫","5/5",""
"Laptop Lenovo IdeaPad Slim 5 OLED 15ARP10 - 83J3001DVN (R7 7735HS, 16GB, 512GB, WQXGA OLED 165Hz, Win11)","AMD Ryzen 7 - 7735HS","16 GB","Card tích hợp - AMD Radeon 680M Graphics","512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","15.1""","WQXGA (2560 x 1600) OLED","OLED","70 Wh","","21.190.000₫","5/5",""
"Laptop GIGABYTE Gaming A16 GA6H - GAMING-A16-CMHH2VN893SH (i5 13420H, 16GB, 512GB, RTX 4050 6GB, WUXGA 165Hz, Win11)","Intel Core i5 Raptor Lake - 13420H","16 GB","Card rời - NVIDIA GeForce RTX 4050, 6 GB","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)","16""","WUXGA (1920 x 1200)","IPS","76 Wh","","24.190.000₫","5/5",""
"Laptop Asus TUF Gaming F15 FX507ZC4 - HN229W (i5 12500H, 16GB, 1TB, RTX 3050 4GB, Full HD 144Hz, Win11)","Intel Core i5 Alder Lake - 12500H","16 GB","Card rời - NVIDIA GeForce RTX 3050, 4 GB","1 TB SSD M.2 PCIe","15.6""","Full HD (1920 x 1080)","IPS","4-cell, 56Wh","","20.990.000₫","4.9/5","Tưởng gaming nặng nhưng máy này nhẹ. Sd mượt lắm. Màn nhưng FHD nhưng máy này màu đẹp ko nhợt. Nói chung thấy ok."
"Laptop Dell Inspiron 15 3530 - N5I7301W1 (i7 1355U, 16GB, 512GB, Full HD 120Hz, Office365, KYHD, Win11)","Intel Core i7 Raptor Lake - 1355U","16 GB","Card tích hợp - Intel Iris Xe Graphics","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","15.6""","Full HD (1920 x 1080)","","3-cell, 54 Wh","","20.990.000₫","5/5",""
"Laptop MSI Venture A14 AI+ A3HMG - 004VN (R5 AI 340, 16GB, 512GB, 2.8K OLED 120Hz, Win11)","AMD Ryzen AI 5 - 340","16 GB","Card tích hợp - AMD Radeon Graphics","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)","14""","2.8K (2880 x 1800) - OLED 16:10","OLED","4-cell Li-ion, 75 Wh","","24.690.000₫","5/5",""
"Laptop HP Gaming OMEN 16 am0127TX - BX8Y0PA (i9 14900HX, 32GB, 512GB, RTX 5070 8GB, WUXGA 165Hz, Win11)","Intel Core i9 Raptor Lake - 14900HX","32 GB","Card rời - NVIDIA GeForce RTX 5070, 8 GB","Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB (2280))","16""","WUXGA (1920 x 1200)","IPS","6-cell Li-Po, 83 Wh","","54.690.000₫","5/5",""
"Laptop Asus Vivobook Go E1404FA - EB482W (R5 7520U, 16GB, 512GB, Full HD, Win11)","AMD Ryzen 5 - 7520U","16 GB","Card tích hợp - AMD Radeon Graphics","512 GB SSD M.2 NVMe PCIe 3.0","14""","Full HD (1920 x 1080)","IPS","3-cell Li-ion, 42 Wh","","14.590.000₫","5/5",""
"Laptop MSI Modern 14 F1MG - 432VN (Core 5 120U, 16GB, 512GB, Full HD, Win11)","Intel Core 5 Raptor Lake - 120U","16 GB","Card tích hợp - Intel Graphics","512 GB SSD NVMe M.2 PCIe Gen 4.0","14""","Full HD (1920 x 1080)","IPS","3-cell, 46.8 Wh","","17.290.000₫","5/5",""
"Laptop Asus Vivobook S14 S5406SA - PP059WS (Ultra 7 258V, 32GB, 1TB, 2.8K OLED 120Hz, OfficeHS, Win11)","Intel Core Ultra 7 Lunar Lake - 258V","32 GB","Card tích hợp - Intel Arc Graphics","1 TB SSD NVMe PCIe Gen 4","14""","2.8K (2880 x 1800) - OLED 16:10","OLED","4-cell Li-ion, 75 Wh","","30.690.000₫","5/5",""
"Laptop Lenovo Yoga Slim 7 OLED 14ILL10 - 83JX0081VN (Ultra 7 258V, 32GB, 1TB, 2.8K OLED 120Hz, OfficeH24, Win11)","Intel Core Ultra 7 Lunar Lake - 258V","32 GB","Card tích hợp - Intel Arc 140V","1 TB SSD NVMe M.2 PCIe Gen 4.0x4 (2242)","14""","2.8K (2880 x 1800) - OLED","OLED","2-cell Li-Po, 70 Wh","","36.490.000₫ *","5/5",""
"Laptop Asus Zenbook S 14 UX5406SA - PV140WS (Ultra 7 258V, 32GB, 1TB, 2.8K OLED 120Hz, OfficeHS, Win11)","Intel Core Ultra 7 Lunar Lake - 258V","32 GB","Card tích hợp - Intel Arc Graphics","1 TB SSD NVMe PCIe Gen 4","14""","2.8K (2880 x 1800) - OLED 16:10","OLED","4-cell, 72Wh","","40.090.000₫ *","5/5","Máy chạy tốt, pin lâu, màn hình đẹp."
"Laptop MSI Gaming Katana 15 HX B14WGK - 022VN (i9 14900HX, 32GB, 1TB, RTX 5070 8GB, QHD 165Hz, Win11)","Intel Core i9 Raptor Lake - 14900HX","32 GB","Card rời - NVIDIA GeForce RTX 5070, 8 GB","1 TB SSD M.2 NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","15.6""","QHD","IPS","4-cell Li-Po, 75 Wh","","54.690.000₫","5/5",""
"Laptop HP Probook 4 G1i 16 - BQ5D4PT (Ultra 5 225U, 16GB, 512GB, WUXGA, Win11)","Intel Core Ultra 5 Arrow Lake - 225U","16 GB","Card tích hợp - Intel Graphics","512 GB SSD PCIe M.2 (2280) (Có thể tháo rời, lắp thanh khác tối đa 1 TB (2280))","16""","WUXGA (1920 x 1200)","IPS","3-cell Li-Po, 56.04 Wh","","23.990.000₫","5/5",""
"Laptop Dell Vostro 3530 - 80GG93 (i5 1335U, 16GB, 512GB, 15.6""F, 120Hz, OfficeHS, Win11)","Intel Core i5 Raptor Lake - 1335U","16 GB","Card tích hợp - Intel Iris Xe Graphics","512 GB SSD NVMe PCIe","15.6""","Full HD (1920 x 1080)","","3-cell Li-ion, 41 Wh","","17.490.000₫","4.9/5","mk sử dụng thấy cx ổn nhưng lớp sơn của máy ko được tốt sau 1 năm thì bị xước rất nhiều || T mới mua máy chưa được 2 tháng mà đã liệt nhiều phím. Giờ mang đi bảo hành, sửa, khác gì nhận về 1 máy cũ."
