name,cpu,ram,gpu,storage,screen_size,screen_resolution,screen_tech,battery,os,color,price,rating,review_text
Laptop Lenovo ideapad 5 pro 14ACN6 82L700L5VN,"AMD Ryzen™ 5-5600U (3.3GHz upto 4.2GHz, 16MB)",16 GB On Board DDR4-3200Mhz,Integrated AMD Radeon Graphics,512GB SSD M.2 2242 PCIe 3.0x4 NVMe,14 inches,2880 x 1800 pixels,"IPS 400 nits Anti-glare
90Hz
100% sRGB",56.5Wh,Windows 11 Home 64,Xám,18.490.000₫,,
Laptop Lenovo ThinkPad E14 Gen 7 21SX0031VN,"Intel Core Ultra 7 255H, 16 lõi (6P + 8E + 2LPE) / 16 luồng, Max Turbo up to 5.1GHz, 24MB","2 khe (2x 16GB, nâng cấp tối đa 64GB)",Intel Arc 140T,"512GB SSD M.2 2242 PCIe 4.0x4 NVMe Opal 2.0, tối đa 1TB",14 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 300nits
Màn hình chống chói
Độ phủ màu 45% NTSC","48Wh, 65W USB-C (3-pin)","Windows 11 Home Single Language, English (US) / English (UK)",Đen,31.490.000₫,,
Laptop Lenovo LOQ 15ARP10E 83S0004FVN,"AMD Ryzen 7 7735HS (8 lõi / 16 luồng, 3.2 / 4.75GHz, 4MB L2 / 16MB L3)",2 khe (1 x 16GB),"NVIDIA GeForce RTX 4050 6GB GDDR6, Boost Clock 1605MHz, TGP 65W, 194 AI TOPS","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, 2x SSD M.2 dung lượng tối đa 1TB mỗi ổ)",15.6 inches,1920 x 1080 pixels (FullHD),"Độ sáng 300nits
Màn hình chống chói
Độ phủ màu 100% sRGB
FreeSync","57.5Wh, 135W Slim Tip (3-pin)","Windows 11 Home Single Language, English",Xám,25.990.000₫,,
Laptop Lenovo ThinkPad E14 Gen 7 21T90023VN,"Intel Core 5 210H, 8 lõi (4P + 4E) / 12 luồng, P-core 2.2 / 4.8GHz, E-core 1.6 / 3.6GHz, 12MB Intel Smart Cache","2 khe (1 x 16GB, tối đa 64GB)",Intel Graphics,"512GB SSD M.2 2242 PCIe 4.0x4 NVMe Opal 2.0, up to 1TB",14 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 300nits
Màn hình chống chói
Độ phủ màu 45% NTSC","48Wh, 65W USB-C (3-pin)","Windows 11 Home Single Language, English (US) / English (UK)",Đen,22.490.000₫,,
Laptop Lenovo Legion 5 15AHP10 83M00030VN,"AMD Ryzen 7 260 (8 lõi / 16 luồng, 3.8 / 5.1GHz, 8MB L2 / 16MB L3)","2 khe (1 x 24GB, tối đa 32GB DDR5-5600)","NVIDIA GeForce RTX 5060 8GB GDDR7, Boost Clock 2497MHz, TGP 115W, 572 AI TOPS","1TB SSD M.2 2242 PCIe 4.0x4 NVMe (Hai khe cắm, tối đa hai ổ đĩa, 2x SSD M.2, mỗi ổ có dung lượng tối đa 1TB)",15.1 inches,2560 x 1600 (WQXGA),"Độ sáng 1000nits (đỉnh) / 500nits (điển hình)
Độ phủ màu 100% DCI-P3
Dolby Vision
DisplayHDR True Black 600","80Wh, 245W Slim Tip (3-pin)","Windows 11 Home Single Language, English + Office Home 2024 + Lenovo AI Now",Đen,39.990.000₫,,
Laptop Lenovo ThinkPad X1 Carbon Gen 13 Aura Edition 21NX0039VN,"Intel Core Ultra 7 255H, 16 lõi (6P + 8E + 2LPE) / 16 luồng, Max Turbo up to 5.1GHz, 24MB",Không nâng cấp,Intel Arc 140T GPU,"512GB SSD M.2 2280 PCIe 4.0x4 NVMe Opal 2.0 (Một ổ đĩa, tối đa 2TB M.2 2280 SSD)",14 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 500nits
Màn hình chống chói
Độ phủ màu 100% sRGB","57Wh, 65W USB-C Slim GaN (3-pin)","Windows 11 Pro, English (US) / English (UK)",Đen,51.990.000₫,,
Laptop Lenovo Legion 5 15IRX10 83LY00HRVN,"Intel Core i7-13650HX, 14 lõi (6P + 8E) / 20 luồng, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB","2 khe (1 x 16GB, nâng tối đa 32GB)","NVIDIA GeForce RTX 5050 8GB GDDR7, Boost Clock 2662MHz, TGP 115W, 440 AI TOPS","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, 2x SSD M.2 • SSD M.2 2242, mỗi ổ có dung lượng tối đa 1TB)",15.3 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 300nits
Màn hình chống chói
Độ phủ màu 100% sRGB
Dolby Vision","80Wh, 245W Slim Tip (3-pin)","Windows 11 Home Single Language, English + Office Home 2024 + Lenovo AI Now",Đen,34.990.000₫,,
Laptop Lenovo IdeaPad Slim 5 14Q8X9 83HL000KVN,"Snapdragon X Plus X1P-42-100, 8C, Max Turbo up to 3.4GHz (single-core) / 3.2GHz (8-core), 30MB",LPDDR5x-8448 Onboard,"Qualcomm Adreno
Tiến trình chip mới nên có thể không kết nối được với các thiết bị có driver cũ","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (One drive, up to 1TB M.2 2242 SSD)",14 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 400nits
Độ phủ màu 100% DCI-P3",57Wh,Windows 11 Home Single Language,Xám,18.490.000₫,,
Laptop Lenovo Legion Pro 5 16IAX10 83F3003VVN,"Intel Core Ultra 9 275HX, 24 lõi (8P + 16E) / 24 luồng, Max Turbo up to 5.4GHz, 36MB","2 khe (2x 16GB, tối đa 32GB)","NVIDIA GeForce RTX 5060 8GB GDDR7, Boost Clock 2497MHz, TGP 115W, 572 AI TOPS",1TB SSD M.2 2242 PCIe 4.0x4 NVMe,16 inches,2560 x 1600 (WQXGA),"Độ sáng 500nits
Độ phủ màu 100% DCI-P3
DisplayHDR True Black 1000
Dolby Vision
G-SYNC
Ánh sáng xanh thấp
Hiệu suất chơi game cao
Không nhấp nháy","80Wh, 245W Slim Tip (3-pin)","Windows 11 Home Single Language, English + Office Home 2024 + Lenovo AI Now",Đen,53.990.000₫,,
Laptop Lenovo ThinkPad E16 Gen 3 21SR002NVN,"Intel Core Ultra 5 225H, 14 lõi (4P + 8E + 2LPE) / 14 luồng, Max Turbo up to 4.9GHz, 18MB","2 khe (1x 16GB, nâng cấp tối đa 64GB)",Intel Arc 130T tích hợp hoạt động như Intel Graphics,512GB SSD M.2 2242 PCIe 4.0x4 NVMe Opal 2.0,16 inches,1920 x 1200 pixels (WUXGA),"Độ sáng 300nits
Màn hình chống chói
Độ phủ màu 45% NTSC","48Wh, 65W USB-C (3-pin)","Windows 11 Home Single Language, English (US) / English (UK)",Đen,24.490.000₫,,
