"name","cpu","ram","gpu","storage","screen_size","screen_resolution","screen_tech","battery","os","color","price","rating","review_text"
"Laptop Dell 14 DC14250 C3U085W11SLU","Intel Core 3 100U (12MB Cache, up to 4.7 GHz)","2 khe (1 x 8GB, tối đa 16GB)","Intel Graphics","512GB M.2 PCIe NVMe SSD","14 inches","1920 x 1200 pixels (FullHD+)","Màn hình chống chói
Độ sáng 300 nits
Hỗ trợ ComfortView Plus","Pin liền, 3-Cell Battery, 41WHr","Windows 11 Home + Office Home 2024 + 1 năm sử dụng Microsoft 365 Basic (miễn phí 1 năm, hết phải gia hạn)","Bạc","14.690.000₫","",""
"Laptop Dell 15 DC15255 HV1N4 - Nhập khẩu chính hãng","AMD Ryzen 5 7530U","2 khe (2 x 8GB, tối đa 24GB)","Intel Iris Xe Graphics","1TB SSD","15.6 inches","1920 x 1080 pixels (FullHD)","Độ phủ màu 45% NTSC","3-cell, 41 Wh","Windows 11","Đen","15.990.000₫","",""
"Laptop Dell 15 DC15250 3G7T0 - Nhập khẩu chính hãng","Core i7 1355U (10 lõi /12 luồng, 12 MB, up to 5.00GHz, 12 MB Intel Smart Cache)","2 khe (nâng cấp tối đa 24GB)","Intel UHD Graphics","1TB SSD PCIe NVMe Gen 4","15.6 inches","1920 x 1080 pixels (FullHD)","Độ phủ màu 45% NTSC
Độ sáng 250 nits
Màn hình chống chói","3 cell, 41Wh","Windows 11","Bạc","20.990.000₫","",""
"Laptop Dell 15 DC15250 MCW52 - Nhập khẩu chính hãng","Intel Core i7 1355U","2 khe (nâng cấp tối đa 24GB)","Intel UHD Graphics","512GB SSD","15.6 inches","1920 x 1080 pixels (FullHD)","Độ phủ màu 45% NTSC","3-cell, 41 Wh","Windows 11","Bạc","19.690.000₫","",""
"Laptop Dell 15 DC15250 I5U165W11SLU","Intel Core i5-1334U (12MB Cache, Turbo Boost 4.6GHz)","2 khe (1 x 16GB)","Intel UHD Graphics","512GB SSD PCIe Gen4x4 (M.2 2230)","15.6 inches","1920 x 1080 pixels (FullHD)","Màn hình chống chói","Pin liền, 3-Cell Battery, 41WHr","Windows 11 Home + Office Home 2024 + 1 năm sử dụng Microsoft 365 Basic (miễn phí 1 năm, hết phải gia hạn)","Bạc","17.490.000₫","",""
"Laptop Dell 14 DC14250 C7U161W11SLU","Intel Core 7 150U (12MB Cache, 1.80GHz and up to 5.4 GHz)","2 khe (2 x 8GB, tối đa 16GB)","Intel Graphics","1TB M.2 PCIe NVMe SSD","14 inches","1920 x 1200 pixels (FullHD+)","Màn hình chống chói
Độ sáng 300 nits
Hỗ trợ ComfortView Plus","Pin liền, 3-Cell Battery, 41WHr","Windows 11 Home + Office Home 2024 + 1 năm sử dụng Microsoft 365 Basic (miễn phí 1 năm, hết phải gia hạn)","Bạc","23.990.000₫","",""
"Laptop Dell 15 DC15250 H5YXJ - Nhập khẩu chính hãng","Intel Core i7-1355U","2 khe (nâng cấp tối đa 24GB)","Intel UHD Graphics","1TB SSD","15.6 inches","1920 x 1080 pixels (FullHD)","Độ phủ màu 45% NTSC","3-cell, 41 Wh","Windows 11","Đen","21.290.000₫","",""
"Laptop Dell 16 DC16251 DC6C7557W1","Intel Core 7 150U (10 lõi, up to 5.4 GHz)","2 khe (2 x 8GB, nâng cấp tối đa 32GB)","NVIDIA GeForce MX570A 2GB GDDR6
Intel Iris Xe Graphics","SSD 1TB M.2 PCIe NVMe","16 inches","1920 x 1200 pixels (FullHD+)","Độ phủ màu 45% NTSC
Độ sáng 300 nit
Màn hình chống chói","4-Cell Battery, 54WHr","Windows 11 Home, Single Language English + Office Home & Student 2024","Bạc","29.190.000₫","",""
"Laptop Dell 15 DC15255 X9YM41","AMD Ryzen 7 7730U ( 8 nhân - 16 luồng- 20M cache - Up to 4.50 GHz Max Boost Clock)","2 khe (1 x 16GB, tối đa 16GB)","AMD Radeon Graphics","1TB M.2 PCIe NVMe","15.6 inches","1920 x 1080 pixels (FullHD)","Màn hình chống chói","3 Cell Int (41Wh)","Windows 11 Home Single Language 64-bit + Microsoft Office Home & Student 2024 + Microsoft 365 Basic (1 năm)","Bạc","18.490.000₫","",""
"Laptop Dell 14 DC14255 71083617","AMD Ryzen AI 7 350, 8 lõi, up to 5.0GHz, 50 TOPS NPU","1 khe","AMD Radeon Graphics","1TB M.2 PCIe NVMe","14 inches","1920 x 1200 pixels (FullHD+)","Màn hình chống chói
Độ sáng 300 nits
Độ phủ màu 100% sRGB
ComfortView (Low Blue Light)","Pin liền 4-cell 54Wh","Windows 11 Home Single Language + Office","Bạc","25.990.000₫","",""
"Laptop Dell 15 DC15250 71084746","Intel Core i5-1334U","2 khe (1 x 16GB, tối đa 32GB)","Intel UHD Graphics","512GB SSD M.2 PCIe NVMe
Hỗ trợ SSD M.2 2280 tối đa 2TB","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 250 nits
Màn hình chống chói
Màn hình LED nền viền mỏng","3-cell, 41Wh lithium-polymer","Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic (1 năm) + McAfee LiveSafe (1 năm, 5 thiết bị)","Bạc","17.490.000₫","",""
"Laptop Dell Inspiron 15 3530 P16WD2","13th Gen Intel Core i5-1334U 3.4hz (10 cores) - Max Turbo Frequency: 4.60 GHz","2 khe (2x 8GB, nâng cấp tối đa 16GB)","Intel Iris Xe Graphics","512GB SSD PCIe (M.2 2230) - combo M.2 2230/2280 nâng cấp tối đa 2.0TB","15.6 inches","1920 x 1080 pixels (FullHD)","Màn hình chống chói
LED Backlit","3 Cell Int (41Wh)","Windows 11 Home Single Language 64-bit + Office Home & Student 2021","Đen","17.490.000₫","",""
"Laptop Dell 14 DC14255 R7165W11SLU","AMD Ryzen 7 250 (8 lõi, up to 5.1Ghz)","2 khe (2 x 8GB, tối đa 32GB)","AMD Radeon Graphics","512GB M.2 PCIe NVMe SSD","14 inches","1920 x 1200 pixels (FullHD+)","Màn hình chống chói
Độ sáng 300 nits
Hỗ trợ ComfortView Plus","Pin liền, 3-Cell Battery, 41WHr","Windows 11 Home + Office Home 2024 + 1 năm sử dụng Microsoft 365 Basic (miễn phí 1 năm, hết phải gia hạn)","Bạc","22.490.000₫","",""
"Laptop Dell Inspiron 14 5440 N4I5211W1","Intel CORE 5-120U","2 khe rời (đã sử dụng, nâng tối đa 32GB)","Intel Iris Xe Graphics","512GB M.2 PCIe NVMe (nâng cấp tối đa 1T)","14 inches","1920 x 1200 pixels (FullHD+)","Độ phủ màu 45% NTSC
Độ sáng 250 nit
Màn hình chống chói","Li-ion 4-Cell Battery, 54WHr","Windows 11 Home, Single Langua ge English + Office Home & Student 2021","Xanh","22.190.000₫","",""
